# Dose, decays
2.400000e+01,2.905371e+02
4.800000e+01,2.954155e+02
7.200000e+01,2.997680e+02
9.600000e+01,3.071164e+02
1.200000e+02,3.234808e+02
1.440000e+02,3.195379e+02
